NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
05690012,900000,58793,5,1,NA
05690012,900160,3031,1,1,NA
05690012,900160,56518,2,1,NA
05690012,900160,7933,3,1,NA
05690012,900160,84770,4,1,NA
05690012,900160,1,5,1,NA
05690012,980000,56220,1,1,NA
05690012,980000,113054,2,1,NA
05690012,980000,63842,3,1,NA
05690012,980000,143313,4,1,NA
05690012,980000,58794,5,1,NA
05690041,900000,31000,1,1,NA
05690041,900000,31000,2,1,NA
05690041,900000,31000,3,1,NA
05690041,900000,31000,4,1,NA
05690041,900000,31000,5,1,NA
05690041,980000,31000,1,1,NA
05690041,980000,31000,2,1,NA
05690041,980000,31000,3,1,NA
05690041,980000,31000,4,1,NA
05690041,980000,31000,5,1,NA
05690042,900000,31000,1,1,NA
05690042,900000,31000,2,1,NA
05690042,900000,31000,3,1,NA
05690042,900000,31000,4,1,NA
05690042,900000,31000,5,1,NA
05690042,980000,31000,1,1,NA
05690042,980000,31000,2,1,NA
05690042,980000,31000,3,1,NA
05690042,980000,31000,4,1,NA
05690042,980000,31000,5,1,NA
05690051,800940,8033,1,1,NA
05690051,800940,8033,2,1,NA
05690051,800940,8033,3,1,NA
05690051,800940,8033,4,1,NA
05690051,800940,8033,5,1,NA
05690051,900000,80800,1,1,NA
05690051,900000,80800,2,1,NA
05690051,900000,80800,3,1,NA
05690051,900000,80800,4,1,NA
05690051,900000,80800,5,1,NA
05690051,900160,35000,1,1,NA
05690051,900160,35000,2,1,NA
05690051,900160,35000,3,1,NA
05690051,900160,35000,4,1,NA
05690051,900160,35000,5,1,NA
05690051,980000,115800,1,1,NA
05690051,980000,115800,2,1,NA
05690051,980000,115800,3,1,NA
05690051,980000,115800,4,1,NA
05690051,980000,115800,5,1,NA
05690052,800940,8033,1,1,NA
05690052,800940,8033,2,1,NA
05690052,800940,8033,3,1,NA
