NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
05690091,900000,119787,NA,1
05690091,980000,119787,NA,1
05690091,980010,2,NA,1
05690091,980020,69,NA,1
05690091,980030,1,NA,1
05690091,980060,2,NA,1
05690091,980090,100,NA,1
05690091,980210,100,NA,1
05690091,980230,100,NA,1
05690091,980281,100,NA,1
05690091,980286,100,NA,1
05690091,980310,100,NA,1
05690092,900000,90080,NA,1
05690092,980000,90080,NA,1
05690092,980010,2,NA,1
05690092,980020,69,NA,1
05690092,980030,1,NA,1
05690092,980060,2,NA,1
05690092,980090,100,NA,1
05690092,980210,100,NA,1
05690092,980230,100,NA,1
05690092,980281,100,NA,1
05690092,980286,100,NA,1
05690092,980310,100,NA,1
05690121,900000,65880,NA,1
05690121,980000,65880,NA,1
05690121,980010,2,NA,1
05690121,980020,40,NA,1
05690121,980030,2,NA,1
05690121,980210,100,NA,1
05690121,980260,100,NA,1
05690121,980270,100,NA,1
05690121,980286,100,NA,1
05690121,980310,100,NA,1
05690122,900000,414759,T,1
05690122,980000,414759,T,1
05690122,980010,2,NA,1
05690122,980020,40,NA,1
05690122,980030,2,NA,1
05690122,980210,100,NA,1
05690122,980260,100,NA,1
05690122,980270,100,NA,1
05690122,980286,100,NA,1
05690122,980310,100,NA,1
05690141,900160,48185,NA,1
05690141,900180,77,NA,1
05690141,980000,48263,NA,1
05690141,980010,1,NA,1
05690141,980020,53,NA,1
05690141,980030,1,NA,1
05690141,980040,2,NA,1
05690141,980090,100,NA,1
05690141,980210,100,NA,1
05690141,980240,100,NA,1
05690141,980281,100,NA,1
05690141,980286,100,NA,1
05690141,980300,100,NA,1
05690141,980330,100,NA,1
05690142,900160,46934,NA,1
05690142,900180,121,NA,1
05690142,980000,47056,NA,1
05690142,980010,1,NA,1
05690142,980020,53,NA,1
05690142,980030,1,NA,1
05690142,980040,2,NA,1
05690142,980090,100,NA,1
05690142,980210,100,NA,1
05690142,980240,100,NA,1
05690142,980281,100,NA,1
05690142,980286,100,NA,1
05690142,980300,100,NA,1
05690142,980330,100,NA,1
05690161,800931,76,NA,1
05690161,800932,157,NA,1
05690161,900000,105000,NA,1
05690161,900180,8,NA,1
05690161,980000,105008,NA,1
05690161,980010,2,NA,1
05690161,980020,52,NA,1
05690161,980030,2,NA,1
05690161,980040,4,NA,1
05690161,980090,100,NA,1
05690161,980210,100,NA,1
05690161,980240,100,NA,1
05690161,980281,100,NA,1
05690161,980286,100,NA,1
05690161,980300,100,NA,1
05690161,980330,100,NA,1
05690162,800931,76,NA,1
05690162,800932,157,NA,1
05690162,900000,105000,NA,1
05690162,900180,8,NA,1
05690162,980000,105008,NA,1
05690162,980010,2,NA,1
05690162,980020,52,NA,1
05690162,980030,2,NA,1
05690162,980040,4,NA,1
05690162,980090,100,NA,1
05690162,980210,100,NA,1
05690162,980240,100,NA,1
05690162,980281,100,NA,1
05690162,980286,100,NA,1
05690162,980300,100,NA,1
05690162,980330,100,NA,1
05690171,800932,58866,T,1
05690171,900000,137213,NA,1
05690171,900180,690,NA,1
05690171,980000,137903,NA,1
05690171,980010,5,NA,1
05690171,980020,44,NA,1
05690171,980030,2,NA,1
05690171,980040,3,NA,1
05690171,980050,3,NA,1
05690171,980090,100,NA,1
05690171,980220,100,NA,1
05690171,980230,100,NA,1
05690171,980281,100,NA,1
05690171,980286,100,NA,1
05690171,980310,100,NA,1
05690171,980330,100,NA,1
05690172,800932,58866,T,1
05690172,900000,137638,NA,1
05690172,900180,720,NA,1
05690172,980000,138358,NA,1
05690172,980010,5,NA,1
05690172,980020,44,NA,1
05690172,980030,2,NA,1
05690172,980040,3,NA,1
05690172,980050,3,NA,1
05690172,980090,100,NA,1
05690172,980220,100,NA,1
05690172,980230,100,NA,1
05690172,980281,100,NA,1
05690172,980286,100,NA,1
05690172,980310,100,NA,1
05690172,980330,100,NA,1
05690191,900000,2140,NA,1
05690191,900150,2784,NA,1
05690191,900210,400,NA,1
05690191,980000,5324,NA,1
05690191,980010,2,NA,1
05690191,980020,33,NA,1
05690191,980030,1,NA,1
05690191,980050,1,NA,1
05690191,980220,100,NA,1
05690191,980260,100,NA,1
05690191,980270,100,NA,1
05690191,980286,100,NA,1
05690191,980310,100,NA,1
05690192,900000,2140,NA,1
05690192,900150,2784,NA,1
05690192,900210,400,NA,1
05690192,980000,5324,NA,1
05690192,980010,2,NA,1
05690192,980020,33,NA,1
05690192,980030,1,NA,1
05690192,980050,1,NA,1
05690192,980220,100,NA,1
05690192,980260,100,NA,1
05690192,980270,100,NA,1
